coin_symbol,up_day_ratio,autocorrelation,trend_efficiency,risk_adjusted_momentum
AAVE,0.4992272024729521,-0.002686750633925063,0.09962531247840394,0.710165881174189
AB,0.4500430663221361,0.05651892431055843,0.1539818652132497,0.7128645611776493
ADA,0.49391647484380136,-0.02120319506183339,0.1343122023915702,0.8122017347536106
ADS,0.49817184643510054,-0.01038736039932814,0.1485079886830478,0.7810556655217199
AERGO,0.502127659574468,-0.015359695175472587,0.1071362277770293,0.6392382053389991
AION,0.4642289348171701,-0.21518737472264507,0.09586886418849265,1.8442115126890595
ALGO,0.4975186104218362,-0.038685286380366495,0.12498845735091653,0.11816386425744031
AMB,0.49351491569390404,-0.18503741005327115,0.10429412846084014,0.4652122658328323
APPC,0.4993234100135318,-0.2435346696551295,0.10327140206815308,0.89401559264718
ATOM,0.49454985870004037,-0.06775247654954052,0.11793880654851578,0.4489636422777197
AVAX,0.49334698055271237,0.0016117803229685754,0.13530601111297763,0.7110421083937043
BAT,0.5022040302267002,-0.07930577783562232,0.0971884962342164,0.5480375852555447
BEAM,0.4628751974723539,-0.06697003165701929,0.12255264642025175,0.06821957005218891
BIX,0.3320298613579808,-0.15354120345525388,0.11979522365615702,1.9078764462808888
BNB,0.5176775867661368,-0.01794589557019851,0.12725602629500313,1.2115226298702155
BNT,0.4832004555808656,-0.0002240864906589305,0.130866222911041,0.3225027295242287
BTC,0.5240613432046536,0.0012079670846134739,0.16251119614080842,1.160327801760082
CMT,0.322661644695543,-0.15477944217003772,0.10923903857865376,1.0549037021950103
COTI,0.48671843073150795,-0.06656381158576206,0.12117040595028365,0.4802180268705004
CRO,0.49662027833001987,-0.04699677729422387,0.15631842899381887,0.49260737164324786
CVC,0.5,0.01948995754535695,0.10833759398785021,0.6390043662926016
DAI,0.3728470111448835,-0.23848792607879166,0.023629211855843574,0.26975150496773814
DASH,0.4947584320875114,-0.09201657726413882,0.12436335296687705,0.8288784289064403
DBC,0.4724940938238272,-0.0969907689299183,0.1282365336637713,0.3392923997318017
DCR,0.4896795219989136,0.34768365515544114,0.1162075108582273,0.709588818717382
DENT,0.48818365968939903,-0.31176269487797925,0.0998952264063689,0.9198524550643564
DGB,0.47506822128504095,-0.034211033313285746,0.09923921479275304,0.9270568713896006
DOT,0.4886991461577097,-0.030298732194162376,0.12483206097275115,0.40257611604992793
DRGN,0.47712854757929885,-0.15325670918907353,0.11197204941557316,0.7192518334204206
ELF,0.5054017555705604,-0.0840990412955408,0.129774995997093,0.29278679211599845
ENJ,0.4985133795837463,-0.13619082797880394,0.12327170762934908,0.7263937484900018
ERG,0.4412447747329308,-0.07574613880816422,0.12989881036477433,0.6136574755366194
ETC,0.4850574712643678,-0.10610264384747921,0.11869064847779684,0.7112621235498504
ETH,0.5047046523784632,-0.0020702442157502455,0.14100652083672377,1.1739285107265927
ETN,0.4691113313511728,-0.03568264277438999,0.09524928714061652,0.35016635380146355
EVX,0.34662162162162163,-0.14366740888046992,0.10782340113709901,0.8930225744357648
FET,0.48521876231769806,-0.04553370810436412,0.14419258030602755,0.6095118685038385
FIRO,0.4925531914893617,-0.024501949334747905,0.09887209582240843,0.5300600133968356
FUN,0.4763239002521715,-0.00590182524531979,0.10085355473894587,1.0782569798770034
GNO,0.4998439937597504,-0.010694568997248752,0.13019205580271306,0.5774549069822841
GT,0.5117370892018779,0.005876848596823604,0.13686065221389476,0.8331697951100452
HBAR,0.4896640826873385,-0.01931905325743747,0.12731948600307808,0.6681814541139829
HT,0.41457545548298386,-0.0749242103612882,0.14637138567674474,0.339857173514548
ICP,0.470213996529786,0.014495515334572308,0.11504010346140878,-0.39094168418351755
IOST,0.5025432349949135,-0.05025457784874394,0.1170695945467696,0.31614028723872234
KCS,0.4934409687184662,0.062120413186138854,0.13421593419874764,0.8367898375236609
KDA,0.4694638694638695,-0.040264947466134245,0.1533290746774561,0.4872854034112488
KEY,0.46300559026635973,-0.19184834465532227,0.10716217089832075,0.9662164051572429
LEO,0.5272876487484612,-0.2525679734329672,0.11650320474576539,0.6561747536457472
LINK,0.5080301540478531,-0.029848805330437614,0.10164718375655897,1.0151019031213402
LPT,0.4737856592135698,-0.03776880609339837,0.11664976092594088,0.6851511570400041
LRC,0.4864776800260671,-0.1324971777334271,0.1160014914903951,0.7395347326671471
LTC,0.49877750611246946,-0.13855874997325449,0.1176102495153415,0.8226143713904662
MANA,0.49280460505276624,-0.02508353974323078,0.11515603440010767,0.8493897208599556
MED,0.4882613133718952,-0.24370833723274085,0.10092686982990261,0.6485623192223117
NEAR,0.48760330578512395,-0.014507106511941084,0.12513009201077838,0.6217870566460494
NEO,0.5046756282875512,-0.03220147678102812,0.12241642717505238,0.7795218238770086
NMR,0.4746675110829639,-0.0856213534131751,0.1056803745415571,0.6124471162412991
OKB,0.4943342776203966,-0.0854546565929702,0.12130122380378253,0.899487406375908
ONGAS,0.497954629973968,-0.13234412983567725,0.11048204920462093,0.4163102338579093
OST,0.4696485623003195,-0.009517428323959763,0.10456008510541655,0.3645068344085401
POWR,0.5161929940515532,-0.015550039202407058,0.10517449768744833,0.591845577908259
QNT,0.46959591996861516,-0.09526555008170605,0.10574634678448543,0.9898952031926793
QRL,0.48894504106127606,-0.07895211055584825,0.08969997351630107,0.7311511544802844
REQ,0.4899638038828562,-0.11528735358669202,0.09833164828516769,0.7451238179898535
RNDR,0.48088064889918886,-0.15516429002779414,0.12027792943489178,0.7349391447767318
RVN,0.47810858143607704,-0.07993136981555388,0.11806112853454288,0.4846121919999671
SALT,0.42287581699346405,-0.12142792846588493,0.09750495909193287,0.45842145728691913
SC,0.4917603975935129,-0.11361918957917046,0.12804027051018618,0.9442188450403575
SHIB,0.47828673408685307,9.244642248216037e-05,0.11779898467382034,0.5555883328766851
SNT,0.4934982556295591,-0.05930342249292252,0.10621105020233357,0.5900973187204193
SNX,0.48843728100911005,-0.0658775847674855,0.11920678448019069,0.6688271078843723
SOL,0.49882019820670126,-0.043117545905392414,0.13806327413195055,1.2944347514396235
STEEM,0.4935933147632312,0.07759409436162094,0.11209094131310211,0.5842212312382014
STRAX,0.506336405529954,-0.01482540279246648,0.12389243497893093,0.7720258903145062
TEL,0.4623765747361253,-0.07274128361509538,0.1198015104301819,0.6884656032069554
THETA,0.49437052200614123,-0.08435611032168,0.11926822041264402,0.6131129758401791
TRAC,0.47530864197530864,-0.09924944728742412,0.11499764528864992,0.8521398368692011
TRB,0.5042620008972634,-0.03409443309015406,0.10600379398429326,0.9589328565595414
TRX,0.5202086049543677,-0.03473246246979336,0.11057407696487731,0.9414351466737123
UNI,0.48778004073319753,-0.06281747311966533,0.11151572850704272,0.5577678953209867
USD,0.27231807951987996,-0.37144802160296553,0.01677353633842229,-0.03451901270718144
VET,0.4874551971326165,-0.00891865990381939,0.1274423109497037,1.1067978019204194
VIBE,0.4850770744506396,-0.07131171898761711,0.0963531500549318,0.8270073272764764
VOLUME,0.4737322978529009,-0.03699002037416687,0.10318553154092383,0.7637955755896058
VSYS,0.4542574257425743,-0.12014514296682241,0.12994119652552724,0.07588576895340561
WAVES,0.4951786727169597,-0.012059180729879361,0.1268514818890944,0.6650735699340874
WAXP,0.5068058076225045,-0.042319482563872336,0.12913512390156995,0.4163122374924866
WTC,0.3930654569021387,-0.07513423264177124,0.14014323326911163,0.31615469918977557
XLM,0.49136883053732067,-0.12257529541767041,0.09605616950218714,0.9519505045852634
XMR,0.5213930348258706,-0.07950878893254254,0.10447078263659645,1.1309541518475377
XRP,0.49066467513069456,-0.1939517123028033,0.10363263170352911,0.9385859069643386
ZEC,0.4915655519384433,-0.038820750279038,0.11536486729743543,0.42567020593502336
ZIL,0.5,-0.05963090074429208,0.11735722233539897,0.3594958038972589
ZRX,0.4934062399485365,-0.09026793500037761,0.10593195084062444,0.7149206815290111
